book,frequency,date,author,century,quarter_century,author_gender,robots_androids_or_AI_computers,battles,romance,magic,time_travel,interplanetary,multi_species,beasts,psychic_powers,novel_technology_not_Aiish,after_catastrophe,popular
Frankenstein,6,1818,Mary Shelley,1,1,2,1,1,3,0,0,0,0,0,0,3,0,1
Twenty Thousand Leagues Under the Sea,7,1870,Jules Vernes,1,3,1,0,1,1,0,0,0,0,2,0,3,0,1
Journey to the Center of the Earth,2,1874,Jules Verne,1,3,1,0,2,2,0,0,0,0,3,0,0,0,1
The Time Machine,6,1895,H. G. Wells,1,4,1,0,2,3,0,3,0,0,3,1,3,1,0
The War of the Worlds,3,1898,H. G. Wells,1,4,1,0,3,1,0,0,2,3,0,1,0,0,0
Princess of Mars,2,1917,Edgar Rice Burroughs,2,5,1,0,3,3,2,0,2,3,2,2,3,1,0
The Skylark of Space,2,1919,E E Doc Smith,2,5,1,0,1,2,0,0,3,3,0,0,3,0,0
Last and First Men,3,1930,Olaf Stapledon,2,6,1,2,2,0,0,0,0,3,0,2,2,0,0
Brave New World,6,1932,Aldous Huxley,2,6,1,2,1,0,0,0,0,0,0,0,1,0,1
Swastika Night,2,1937,Katharine Burdekin aka Murray Constantine,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0
The Space Trilogy,2,1938,C. S. Lewis,2,6,1,0,1,0,0,0,2,2,0,0,1,0,0
The Foundation Trilogy,8,1942,Isaac Asimov,2,6,1,3,2,1,0,0,3,0,0,1,3,0,0
Chronicles of the Lensmen,2,1948,E E Doc Smith,2,6,1,1,3,0,0,0,3,2,0,0,3,0,0
1984,6,1949,George Orwell,2,6,1,0,0,0,0,0,0,0,0,0,0,0,1
Earth Abides,3,1949,George R. Stewart,2,6,1,0,0,1,0,0,0,0,0,0,0,3,0
"The Lion, the Witch and the Wardrobe",2,1950,C. S. Lewis,2,7,1,0,3,0,3,1,0,0,3,0,0,0,1
"I, Robot",4,1950,Isaac Asimov,2,7,1,3,0,1,0,0,1,0,0,0,3,0,1
Tales of the Dying Earth,2,1950,Jack Vance,2,7,1,0,1,0,3,0,0,0,3,0,0,2,0
The Martian Chronicles,6,1950,Ray Bradbury,2,7,1,1,1,1,0,0,2,2,0,2,2,1,0
Day of the Triffids,3,1951,John Wyndham,2,7,1,0,0,1,0,0,0,2,0,0,2,3,0
City,2,1952,Clifford D. Simak,2,7,1,2,0,0,0,0,1,0,1,2,2,0,0
Childhood's End,4,1953,Arthur C. Clarke,2,7,1,1,2,1,0,0,3,3,0,2,2,1,0
The Space Merchants,3,1953,Frederik Pohl,2,7,1,0,1,0,0,0,1,0,0,0,2,1,0
The Caves of Steel,2,1953,Isaac Asimov,2,7,1,3,1,0,0,0,3,0,1,0,3,0,0
Fahrenheit 451,4,1953,Ray Bradbury,2,7,1,0,0,0,0,0,0,0,0,0,3,0,1
Bring the Jubilee,2,1953,Ward Moore,2,7,1,0,2,0,0,3,0,0,0,0,2,0,0
Mission of Gravity,2,1954,Hal Clement,2,7,1,0,0,0,0,0,1,3,0,0,2,0,0
I am Legend,5,1954,Richard Matheson,2,7,1,1,2,0,0,0,0,1,0,0,2,3,0
The Lord of the Rings,4,1955,J. R. R. Tolkein,2,7,1,0,3,1,3,0,0,3,2,1,0,0,1
Modern Classics the Death of Grass,2,1956,John Christopher,2,7,1,2,1,1,0,0,0,0,0,0,2,3,0
The Stars My Destination,6,1957,Alfred Bester,2,7,1,0,0,2,0,2,2,0,0,2,3,0,0
The Once and Future King,2,1958,T. H. White,2,7,1,0,3,3,1,0,0,0,2,1,0,0,0
The Rediscovery of Man,2,1959,Cordwainer Smith,2,7,1,0,1,0,0,0,2,2,0,0,2,3,0
Flowers for Algernon,4,1959,Daniel Keyes,2,7,1,0,0,0,0,0,0,0,2,0,2,0,1
A Canticle for Leibowitz,7,1959,Walter M. Miller Jr,2,7,1,0,1,0,0,0,0,0,0,0,0,3,0
Rogue Moon,2,1960,Algis Budrys,2,7,1,0,0,2,0,0,1,1,0,0,3,0,0
Stranger in a Stange Land,4,1961,Robert A. Heinlein,2,7,1,1,2,1,0,0,2,0,0,1,0,0,0
Solaris,5,1961,Stanislaw,2,7,1,3,0,3,0,0,3,1,0,0,2,0,1
A Clockwork Orange,5,1962,Anthony Burgess,2,7,1,0,1,0,0,0,0,0,0,0,0,0,1
The Drowned World,2,1962,JG Ballard,2,7,1,0,1,1,0,0,0,0,0,0,2,3,0
The Man in the High Castle,3,1962,Philip K. Dick,2,7,1,0,2,0,0,0,0,0,0,0,2,0,0
Something Wicked This Way Comes,2,1962,Ray Bradbury,2,7,1,0,0,0,3,0,0,0,1,0,0,0,0
Witch World,2,1963,Andre Norton,2,7,1,0,2,0,3,0,2,1,0,0,0,0,0
Cat's Cradle,2,1963,Kurt Vonnegut,2,7,1,0,1,0,0,0,0,0,0,0,3,0,0
A Wrinkle in Time,3,1963,Madeleine L'Engle,2,7,2,0,1,0,2,0,3,3,2,2,3,0,0
The Wanderer,2,1964,Fritz Leiber,2,7,1,0,0,3,0,0,2,1,0,2,2,2,0
The Dune Chronicles,9,1965,Frank Herbert,2,7,1,0,2,2,0,0,3,0,2,0,3,0,1
The Moon is a Harsh Mistress,6,1966,Robert A. Heinlein,2,7,1,3,3,2,0,0,2,0,0,0,2,0,0
Babel 17,2,1966,Samuel R. Delany,2,7,1,0,3,1,0,0,3,2,0,0,3,0,1
Dragon Riders of Pern Series,3,1967,Anne McCaffrey,2,7,2,0,0,2,0,3,1,0,3,2,0,1,0
Dangerous Visions,3,1967,Harlan E. Ellison,2,7,1,3,3,3,0,3,3,3,3,3,3,3,0
Lord of Light,3,1967,Roger Zelazny,2,7,1,0,1,1,2,0,2,0,0,0,3,0,0
2001: A Space Odyssey,7,1968,Arthur C. Clarke,2,7,1,3,0,0,0,0,2,1,0,0,3,0,1
Stand on Zanzibar,4,1968,John Brunner,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0
Pavane,2,1968,Keith Roberts,2,7,1,0,1,1,1,0,0,0,0,0,3,1,0
The Last Unicorn,3,1968,Peter S. Beagle,2,7,1,0,1,1,3,0,0,1,3,1,0,0,0
Do Androids Dream of Electric Sheep,4,1968,Philip K. Dick,2,7,1,3,1,0,0,0,0,0,0,0,2,3,0
Slaughterhouse Five,7,1969,Kurt Vonnegut,2,7,1,1,0,0,0,3,3,2,0,0,0,0,1
Behold the Man,2,1969,Michael Moorcock,2,7,1,0,1,0,0,3,0,0,0,0,0,0,0
Ubik,3,1969,Philip K. Dick,2,7,1,0,0,1,0,2,1,0,0,3,3,1,0
The Left Hand od Darkness,7,1969,Ursula K. Le Guin,2,7,2,0,1,1,0,0,3,2,0,0,3,0,0
The Atrocity Exhibition,2,1970,J G Ballard,2,7,1,0,1,0,0,0,0,0,0,0,0,0,0
Ringworld,8,1970,Larry Nivan,2,7,1,2,1,0,0,0,3,1,0,0,3,1,0
The Amber Chronicles,2,1970,Roger Zelazny,2,7,1,1,3,3,3,0,3,0,0,3,2,0,0
The Fabulous Riverboat,2,1971,Philip Jose Farmer,2,7,1,0,1,1,0,0,1,3,0,0,2,0,0
Roadside Picnic,4,1972,Arkady and Boris Strugatsky,2,7,1,0,0,1,1,0,2,2,0,0,0,0,0
Watership Down,2,1972,Richard Adams,2,7,1,0,1,0,0,0,0,3,0,0,0,0,1
Dying Inside,2,1972,Robert Silverberg,2,7,1,0,0,1,0,0,0,0,0,3,0,0,0
The Princess Bride,2,1973,William Goldman,2,7,1,0,3,3,1,0,0,0,0,0,0,0,1
Inverted World,2,1974,Christopher Priest,2,7,1,0,0,1,0,0,0,0,0,0,3,3,0
The Forever War,8,1974,Joe Haldeman,2,7,1,2,3,1,0,0,3,0,0,0,3,2,0
The Mote in God's Eye,3,1974,Larry Nivan,2,7,1,0,1,0,0,0,3,3,0,0,2,0,0
The Dispossessed,7,1974,Ursula K. Le Guin,2,7,2,0,1,0,0,0,2,0,0,0,3,0,0
The Female Man,4,1975,Joanna Russ,2,8,2,0,0,1,0,0,3,0,0,0,3,0,0
Dhalgren,6,1975,Samuel R. Delany,2,8,1,0,0,0,0,0,0,0,0,0,0,3,0
Where Late the Sweet Birds Sang,2,1976,Kate Wilhelm,2,8,2,0,0,1,0,0,0,0,0,0,3,3,0
Lucifer's Hammer,2,1977,Larry Nivan,2,8,1,1,0,1,0,0,1,0,0,0,2,1,0
The Chronicles of Thomas Covenant the Unbeliever,2,1977,Stephen R. Donaldson,2,8,1,1,2,0,3,0,0,1,2,0,0,1,0
The Sword of Shannara Trilogy,2,1977,Terry Brooks,2,8,1,0,3,0,3,0,0,3,0,0,0,1,0
The Hitchhiker's Guide to the Galaxy,11,1979,Douglas Adams,2,8,1,1,0,1,0,0,3,3,0,0,2,1,1
The Mists of Avalon,3,1979,Marion Zimmer Bradley,2,8,2,0,3,3,3,0,0,0,0,1,0,0,0
Kindred,4,1979,Octavia E Butler,2,8,2,0,0,2,0,3,0,0,0,0,0,0,0
The Book of the New Sun,5,1980,Gene Wolfe,2,8,1,0,0,0,0,0,3,0,0,0,0,0,0
Wild Seed,2,1980,Octavia E Butler,2,8,2,0,0,2,2,0,0,0,0,2,0,0,0
Discworld,3,1983,Terry Pratchard,2,8,1,1,0,0,3,0,0,3,1,0,1,0,0
Neuromancer,10,1984,William Gibson,2,8,1,3,1,1,1,0,0,0,0,0,3,0,0
Schismatrix Plus,3,1985,Bruce Sterling,2,8,1,0,0,1,0,0,1,0,0,0,3,1,0
Blood Music,3,1985,Greg Bear,2,8,1,0,0,0,0,0,0,3,0,0,3,0,0
The Handmaid's Tale,6,1985,Margaret Atwood,2,8,2,0,1,1,0,0,0,0,0,0,0,2,1
Ender's Game,7,1985,Orson Scott Card,2,8,1,1,3,0,0,0,2,2,0,0,2,0,1
Howl's Moving Castle,2,1986,Diana Wynne Jones,2,8,2,0,1,3,3,0,0,0,0,0,0,0,0
The Vorkosigan Saga,4,1986,Lois McMaster Bujold,2,8,2,1,3,2,0,0,3,3,0,0,0,0,0
The Culture Series,3,1987,Iain Banks,2,8,1,3,3,0,0,0,1,3,0,0,3,2,0
Life During Wartime,2,1987,Lucius Shepard,2,8,1,0,3,2,0,0,0,0,0,3,0,1,0
The Hyperion Cantos,7,1989,Dan Simmons,2,8,1,1,1,0,0,0,2,3,1,0,1,0,0
"The City, Not Long After",2,1989,Pat Murphy,2,8,2,0,1,0,0,0,0,0,0,1,2,3,0
Take Back Plenty,2,1990,Colin Greenland,2,8,1,3,0,0,0,0,3,1,0,0,3,0,0
Use of Weapons,2,1990,Iain Banks,2,8,1,1,3,1,0,0,3,0,0,0,1,0,0
Outlander,2,1991,Dana Gabaldon,2,8,2,0,3,3,0,3,0,0,0,0,0,0,0
Synners,2,1991,Pat Cadigan,2,8,2,0,0,0,0,0,0,0,0,0,3,0,0
Doomsday Book,6,1992,Connie Willis,2,8,2,0,1,0,0,3,0,0,0,0,3,0,0
The Mars Trilogy,7,1992,Kim Stanley Robinson,2,8,2,1,1,1,0,0,2,0,0,0,3,0,0
Snow Crash,6,1992,Neal Stephenson,2,8,1,3,1,1,0,0,0,0,0,0,3,0,0
A Fire Upon the Deep,6,1992,Vernor Vinge,2,8,1,0,3,3,0,0,2,3,0,0,3,0,0
The Belgariad,2,1993,David Eddings,2,8,1,0,2,2,3,0,0,0,3,2,0,0,0
The Giver,2,1993,Lois Lowry,2,8,2,0,0,1,0,0,0,0,0,0,3,0,0
Beggars in Spain,3,1993,Nancy Kress,2,8,2,0,0,0,0,0,0,0,0,0,3,0,0
Parable of the Sower,2,1993,Octavia E Butler,2,8,2,0,0,0,0,0,0,0,0,1,0,0,0
Queen City Jazz,2,1994,Kathleen Ann Goonan,2,8,2,0,1,0,0,0,0,0,1,0,3,3,0
The Diamond Age,4,1995,Neal Stephenson,2,8,1,0,0,1,0,0,0,0,1,0,3,0,0
The Farseer Trilogy,2,1995,Robin Hobb,2,8,1,0,1,1,3,0,0,3,0,0,1,0,0
A Song of Ice and Fire,4,1996,George R. R. Martin,2,8,1,0,3,2,2,0,0,0,3,1,0,0,1
Harry Potter Series,3,1997,J. K. Rowling,2,8,2,0,2,1,3,0,0,0,3,1,0,0,1
Starship Troopers,4,1997,Paul Verhoeven,2,8,1,2,3,1,0,0,3,3,0,0,3,0,0
Contact,6,1997,Robert Zemeckis,2,8,1,1,1,1,0,0,3,3,0,1,2,0,1
Brown Girl in the Ring,2,1998,Nalo Hopkinson,2,8,1,0,1,0,2,0,0,0,0,0,3,3,0
Cry of the Wind,2,1998,Sue Harrison,2,8,2,0,1,3,2,0,0,0,0,0,0,0,0
Cryptonomico,2,1999,Neal Stephenson,2,8,1,3,2,1,0,0,1,1,1,0,3,0,0
Revelation Space,4,2000,Alastair reynolds,3,9,1,3,0,0,0,0,3,3,0,0,3,0,0
Perdido Street Station,2,2000,China Mieville,3,9,1,2,1,1,3,0,0,2,2,1,3,0,0
Midnight Robber,2,2000,Nalo Hopkinson,3,9,1,0,1,0,0,0,2,0,0,0,3,2,0
The Kushiel's Legacy Series,2,2001,Jacqueline Carey,3,9,2,0,1,1,0,0,0,0,0,0,0,0,0
American Gods,3,2001,Neil Gaiman,3,9,1,1,2,0,2,0,0,0,0,1,1,0,1
Contacting Aliens,2,2002,David Brin,3,9,1,1,2,0,0,0,3,3,2,0,3,0,0
Altered Carbon,5,2002,Richard Morgan,3,9,1,0,0,0,0,0,3,0,0,0,3,0,0
The Time Traveler's Wife,3,2003,Audrey Niffenegger,3,9,2,0,0,3,0,3,0,0,0,0,0,0,1
Oryx and Crake,2,2003,Margaret Atwood,3,9,2,0,1,0,0,0,0,0,3,0,2,3,0
Cloud Atlas: A Novel,4,2004,David Mitchell,3,9,1,0,1,1,0,0,0,0,0,0,0,2,0
"Air: Or, Have Not Have",2,2004,Geoff Ryman,3,9,1,0,0,0,0,0,0,0,0,0,3,0,0
River of Gods,2,2004,Ian McDonald,3,9,1,3,0,1,0,0,1,0,0,0,3,0,0
Her Smoke Rose Up Forever,2,2004,James Tiptree aka Alice Bradley,3,9,1,1,0,1,0,0,0,0,0,0,3,1,0
Sarah Canary,3,2004,Karen Joy Fowler,3,9,2,0,0,0,0,0,0,0,0,0,0,0,0
Pandora's Star,3,2004,Peter F. Hamilton,3,9,1,0,1,0,0,0,3,2,0,0,3,0,0
Jonathan Strange and Mr. Norrell,3,2004,Susanna Clarke,3,9,2,0,1,0,3,0,0,0,0,1,0,0,0
Old Man's War,5,2005,John Scalzi,3,9,1,2,3,3,0,0,3,3,0,0,3,0,0
Never Let Me Go,2,2005,Kazuo Ishiguro,3,9,1,0,0,3,0,0,0,0,0,0,3,0,0
Spin Trilogy,3,2005,Robert Charles Wilson,3,9,1,0,0,1,0,0,1,0,0,0,3,1,0
The Road,5,2006,Cormac McCarthy,3,9,1,0,0,0,0,0,0,0,0,0,0,3,1
World War Z,5,2006,Max Brooks,3,9,1,1,3,0,0,0,0,1,0,0,0,3,1
Blindsight,3,2006,Peter Watts,3,9,1,3,0,0,0,0,2,1,0,0,3,0,0
The Yiddish Policeman's Union,2,2007,Michael Chabon,3,9,1,0,1,0,0,0,0,0,0,0,0,0,1
Anathem,2,2008,Neal Stephenson,3,9,1,0,1,0,0,0,2,1,0,0,2,0,0
The Hunger Games,3,2008,Suzanne Collins,3,9,2,0,2,3,0,0,0,0,0,0,0,0,1
The City & The City,2,2009,China Mieville,3,9,1,0,0,0,0,0,0,1,0,0,3,0,0
The Windup Girl,6,2009,Paolo Bacigalupi,3,9,1,3,2,2,0,0,0,0,0,0,2,3,0
The Way of Kings,2,2010,Brandon Sanderson,3,9,1,0,1,0,2,0,0,0,0,0,1,0,0
Licht - Die Trilogie: Drei Romaine,2,2010,Brent Weeks,3,9,1,0,3,2,3,0,0,0,0,0,1,0,0
How to Live Safely in a Science Fictional Universe: A Novel,3,2010,Charles Yu,3,9,1,1,0,2,0,3,0,0,0,0,2,0,0
The Martian,3,2011,Andy Weir,3,9,1,0,0,0,0,0,1,0,0,0,3,3,0
Zone One,2,2011,Colson Whitehead,3,9,1,0,2,0,0,0,0,2,1,1,1,3,0
Ready Player One,3,2011,Ernest Cline,3,9,1,0,0,0,0,0,0,0,0,0,2,0,1
Among Others,2,2011,Jo Walton,3,9,1,0,1,1,3,0,0,1,0,0,0,0,0
Ancillary Justice,4,2013,Ann Leckie,3,9,2,3,1,0,0,0,3,0,0,0,0,0,0
The First Fifteen Lives of Harry August,2,2014,Claire North aka Catherine Webb,3,9,2,0,1,0,0,1,0,1,0,0,0,0,0
We Were Liars,2,2014,E Lockhart,3,9,1,0,0,2,0,0,0,0,0,1,0,0,0
Area X: The Southern Research Trilogy,3,2014,Jeff VanderMeer,3,9,1,0,0,0,0,0,0,0,0,0,3,0,0
Red Rising,3,2014,Pierce Brown,3,9,1,0,3,2,0,0,2,0,0,0,3,0,0
